region	type	x1	y	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17
region3	type1	0	281.7	281.7	140.8	3660	0.75	0.0833	39.73	0	1104	0.0985	20358	0.7474	557818	5202490	20.5	16.2	0.437
region3	type1	4.93	0	0	49.26	3670	1.93	0.3452	64.14	0.0526	1104	0.0985	45076	0.6519	588382	5064518	20.5	16.2	0.35
region3	type1	0	51.02	0	153.1	3680	1.94	0.0821	83.53	0.0252	1104	0.0985	32838	0.6925	528190	5201616	20.5	16.2	0.398
region3	type1	3.56	228.1	156.8	128.3	3690	15.38	0.1326	74.11	0.0262	1104	0.0985	8337	0.7474	567084	5192656	20.5	16.2	0.302
region3	type1	0	0	0	0	3801	0.03	.	.	.	1104	0.0985	46537	0.6925	487179	5250101	20.5	16.2	0.75
region3	type1	1.42	259.4	23.58	94.34	3802	4.15	.	.	0.028	1104	0.0985	13649	0.7474	576264	5205869	20.5	16.2	0.311
region3	type1	0	0	0	0	3803	1.06	.	.	.	1104	0.0985	25366	0.8167	582772	5145006	20.5	16.2	0.5
region3	type1	0	0	0	0	3805	0.13	.	.	.	1104	0.0985	27463	0.5542	579489	5083939	20.5	16.2	0.364
region3	type1	9.8	0	0	0	3806	1.01	.	.	.	1104	0.0985	27224	0.7543	549235	5052535	20.5	16.2	0.471
region3	type1	0	0	0	0	3807	0.08	.	.	.	1104	0.0985	37849	0.7543	559711	5060437	20.5	16.2	0
region3	type1	0	0	0	0	3808	0.01	.	.	.	1104	0.0985	37784	0.6915	558792	5131856	20.5	16.2	1
region3	type1	0	0	0	0	3809	1.37	.	.	.	1104	0.0985	34356	0.6984	552087	5072459	20.5	16.2	0.279
region3	type1	0	0	0	0	3812	0.11	.	.	.	1104	0.0985	32896	0.6597	558928	5122189	20.5	16.2	0.364
region3	type1	0	0	0	0	3813	0.06	.	.	.	1104	0.0985	21091	0.5542	579361	5090990	20.5	16.2	0
region3	type1	0	0	0	0	3815	0.06	.	.	.	1104	0.0985	29566	0.8167	578597	5140113	20.5	16.2	0.167
region3	type1	0	0	0	0	3816	0.35	.	.	.	1104	0.0985	28059	0.7543	549378	5062446	20.5	16.2	0.472
region3	type1	0	0	0	0	3817	0.27	.	.	.	1104	0.0985	41174	0.6984	559667	5072578	20.5	16.2	0.393
region3	type1	0	0	0	0	3820	0.06	.	.	.	1104	0.0985	25602	0.5542	569452	5093431	20.5	16.2	0.667
region3	type1	0	0	0	0	3826	0.01	.	.	.	1104	0.0985	39857	0.6915	548340	5141518	20.5	16.2	1
region3	type2	0	0	0	0	3833	0.18	.	.	.	1104	0.0985	19726	0.6915	558301	5162278	20.5	16.2	0.632
region3	type2	0	0	0	0	3841	0.01	.	.	.	1104	0.0985	101180	0.6915	459362	5162848	20.5	16.2	0
region3	type2	0	0	0	0	3844	0.01	.	.	.	1104	0.0985	124688	0.6134	428676	5163032	20.5	16.2	1
region3	type2	0	0	0	0	3846	0.02	.	.	.	1104	0.0985	58281	0.6915	518407	5172600	20.5	16.2	1
region3	type2	0	0	0	0	3878	0.17	.	.	.	1104	0.0985	99215	0.6925	441386	5191684	20.5	16.2	0.091
region3	type2	0	0	0	0	3880	0.08	.	.	.	1104	0.0985	33230	0.6925	537835	5201825	20.5	16.2	0.429
region3	type2	0	0	0	0	3885	0.01	.	.	.	1104	0.0985	61214	0.6925	479031	5201932	20.5	16.2	1
region3	type2	0	0	0	0	3889	1.42	.	.	.	1104	0.0985	27021	0.7662	557641	5212602	20.5	16.2	0.642
region3	type2	0	0	0	0	3890	0.55	.	.	.	1104	0.0985	27662	0.7662	547608	5212242	20.5	16.2	0.433
region3	type2	0	0	0	0	3891	0.34	.	.	.	1104	0.0985	23414	0.6925	537697	5211911	20.5	16.2	0.581
region3	type2	0	0	0	0	3892	0.05	.	.	.	1104	0.0985	26126	0.6925	518215	5211532	20.5	16.2	0.4
region3	type2	0	0	0	0	3897	0.35	.	.	.	1104	0.0985	31852	0.6971	566719	5222889	20.5	16.2	0.406
region3	type2	0	583	44.84	269.1	3898	2.38	.	.	.	1104	0.0985	28997	0.7662	557521	5222693	20.5	16.2	0.498
region3	type2	0	156.3	0	0	3899	1.16	.	.	.	1104	0.0985	20340	0.7662	547461	5222437	20.5	16.2	0.469
region3	type2	0	0	0	0	3907	0.02	.	.	.	1104	0.0985	41496	0.6925	490023	5241100	20.5	16.2	0.5
region3	type2	4.66	132.1	85.47	147.6	5010	13.68	0.1121	69.21	0.0296	768	0.1425	23695	0.6416	361806	4854753	16.2	18.96	0.333
region3	type2	2.45	243.2	175.8	190.1	5020	29.42	0.1569	79.22	0.0353	768	0.1425	1698	0.6468	360919	4878684	16.2	18.96	0.339
region3	type2	4.77	116.2	111.5	129.9	5030	172.9	0.0803	73.2	0.0278	768	0.1425	1239	0.6907	421270	4861435	16.2	18.96	0.293
region3	type2	1.86	108	40.38	156	5040	238.7	0.0314	64.76	0.0103	768	0.1425	7221	0.8769	400040	4827049	16.2	18.96	0.358
region3	type2	4.9	112.4	173	132.6	5050	35.25	0.0815	70.35	0.0278	768	0.1425	18022	0.6468	378020	4869110	16.2	18.96	0.286
region3	type2	2.37	90.79	53.08	86.6	5060	104.9	0.0303	69.29	0.0098	768	0.1425	13891	0.808	400252	4848786	16.2	18.96	0.288
region3	type2	1.55	119.1	57.14	119.1	5070	133.4	0.0372	65.62	0.0108	768	0.1425	8916	0.8825	396533	4844857	16.2	18.96	0.324
region3	type2	1.54	143.6	76.92	130.8	5080	86.55	0.059	75.83	0.0182	768	0.1425	11433	0.709	411530	4856729	16.2	18.96	0.31
region3	type2	3.32	105.4	67.89	128.7	5090	106.5	0.0736	69.15	0.0193	768	0.1425	8363	0.7627	382522	4839961	16.2	18.96	0.236
region3	type2	3.81	107	60.12	92.38	5100	57.28	0.0258	60.33	0.0205	768	0.1425	22171	0.682	391607	4860281	16.2	18.96	0.258
region3	type2	1.15	137.4	32.45	97.35	5110	84.6	0.0556	81.67	0.0208	768	0.1425	10548	0.6907	423183	4850179	16.2	18.96	0.423
region3	type2	5.18	164.1	146.9	185.7	5120	24.3	0.0925	82.91	0.0432	768	0.1425	8113	0.6468	368690	4883794	16.2	18.96	0.31
region3	type2	0	99.01	49.5	0	5125	53.07	0.0995	58.75	0.0482	768	0.1425	9835	0.6066	406862	4838246	16.2	18.96	0.376
region3	type2	5.51	186.9	113.4	156.3	5130	33.85	0.0762	65.1	0.038	768	0.1425	11649	0.6468	370501	4869877	16.2	18.96	0.32
region3	type2	4.16	143.7	72.87	102	5140	38.81	0.0535	53.05	0.0321	768	0.1425	16605	0.682	396043	4868697	16.2	18.96	0.219
region3	type2	6.06	75.76	54.55	75.76	5150	59.53	0.0227	63.48	0.0092	768	0.1425	20531	0.808	400629	4856090	16.2	18.96	0.224
region3	type2	5.43	122.6	116.4	167	5170	1162	0.1407	78.91	0.0213	768	0.1425	1832	0.7075	397153	4836902	16.2	18.96	0.27
region3	type2	7.13	85.59	49.93	92.72	5180	23.68	0.0431	70.31	0.0212	768	0.1425	17184	0.709	405086	4861349	16.2	18.96	0.317
region3	type2	3.02	104.7	74.44	123.3	5190	37.1	0.0404	74.87	0.0228	768	0.1425	24464	0.682	382883	4864759	16.2	18.96	0.271
region3	type2	2.41	104.1	91.16	121.2	5200	137.6	0.0405	66.72	0.0144	768	0.1425	10146	0.8467	389467	4827488	16.2	18.96	0.303
region3	type2	8.42	182.3	91.16	105.2	5210	11.26	0.058	59.32	0.016	768	0.1425	17394	0.6468	366712	4861535	16.2	18.96	0.351
region3	type2	4.48	128.9	116.4	169.4	5220	741.5	0.0667	67.16	0.016	768	0.1425	2891	0.6761	395754	4831559	16.2	18.96	0.301
region3	type2	3.95	104.7	42.73	99.35	5230	44.87	0.0358	61.68	0.0213	768	0.1425	19960	0.6416	373787	4848758	16.2	18.96	0.231
region3	type2	6.02	144.5	154.4	211.5	5240	359.4	0.0833	63.92	0.0199	768	0.1425	832	0.7206	390903	4838931	16.2	18.96	0.312
region3	type2	3.35	100.6	86.55	126.8	5250	114.8	0.05	65.36	0.0184	768	0.1425	12828	0.6951	386931	4850397	16.2	18.96	0.258
region3	type2	3.35	72.98	71.78	105.3	5260	238.8	0.0443	71.79	0.0116	768	0.1425	17560	0.8889	405442	4850321	16.2	18.96	0.334
region3	type2	0	59.52	39.68	0	7010	4.68	0.2	89.74	0.0109	951	0.0011	21116	0.6295	396137	4959494	15.9	21.53	0.304
region3	type2	0	0	0	0	7018	1.98	0.0697	77.63	0.0331	951	0.0011	49839	0.6295	400055	4991164	15.9	21.53	0.284
region3	type2	0	0	0	19.23	7020	6	0.1283	48.64	0.0206	951	0.0011	13090	0.6934	387112	4941761	15.9	21.53	0.283
region3	type2	1.71	51.28	34.19	34.19	7030	12.02	0.1274	88.03	0.0713	951	0.0011	10066	0.737	413286	4933454	15.9	21.53	0.298
region3	type2	0	0	0	0	7040	1.58	0.1356	67.94	0.0123	951	0.0011	57532	0.7989	384310	4994427	15.9	21.53	0.326
region3	type2	0	0	0	0	7050	2.39	0.1143	56.22	0.0096	951	0.0011	49048	0.7989	375806	4983357	15.9	21.53	0.368
